47,40,56,64
91,94,95,90
32,24,23,34
83,76,74,86
54,67,70,49
89,87,85,95
37,41,47,24
86,93,95,77
46,31,27,63
89,86,81,91
37,45,54,33
88,94,95,87
41,28,26,44
87,81,80,94
44,55,57,29
90,96,95,85
33,20,22,45
83,69,72,94
53,76,71,33
89,77,84,88
38,59,49,42
88,92,95,93
39,31,25,29
86,85,77,83
46,49,63,52
91,97,91,96
30,17,31,19
80,63,83,68
60,82,56,79
85,65,93,71
46,76,32,71
88,76,86,83
40,62,45,51
90,93,96,96
33,28,21,20
80,81,70,69
58,61,76,76
85,92,76,76
47,35,65,65
91,89,89,90
33,36,36,35
84,89,88,87
52,42,44,46
90,95,95,95
36,24,23,23
86,77,75,75
45,63,66,65
89,91,89,90
39,34,40,37
90,89,92,91
35,39,30,32
82,90,84,84
55,41,55,53
88,94,95,96
40,28,26,23
90,82,80,76
35,51,55,61
83,94,95,91
52,31,30,38
89,85,85,92
38,47,47,31
89,95,95,86
37,23,23,44
84,74,74,93
51,68,68,33
90,87,88,89
36,42,40,38
88,93,92,92
41,29,32,33
87,84,87,87
42,50,43,44
90,97,94,96
33,18,25,21
82,65,76,71
55,80,67,74
87,71,87,80
42,70,45,57
90,85,96,95
33,44,20,23
82,93,69,73
55,34,77,71
88,89,76,83
40,40,63,51
90,93,92,97
36,29,30,20
84,83,84,69
50,54,53,74
90,95,95,80
35,24,23,56
86,76,76,94
44,65,64,30
88,89,89,84
40,38,38,50
90,92,92,96
33,29,29,20
80,82,81,69
59,58,61,77
85,92,91,74
49,34,36,69
91,90,92,86
32,35,30,43
82,88,83,93
55,45,56,35
89,95,95,90
37,23,24,36
86,74,76,89
45,66,64,40
90,89,91,93
34,37,34,27
84,89,87,79
50,41,47,61
89,95,96,92
38,26,22,32
89,79,73,87
38,57,65,42
84,93,88,92
50,34,45,36
91,90,95,91
33,35,23,34
85,88,74,88
48,44,69,44
90,95,87,96
35,24,43,21
85,76,94,72
46,65,30,69
88,89,85,86
40,38,46,44
90,92,95,95
34,29,23,23
80,81,74,73
59,60,72,72
85,92,81,81
48,34,57,57
90,89,96,96
33,37,21,20
84,90,72,70
50,41,70,73
90,93,85,81
35,27,47,54
86,80,94,94
46,57,29,30
88,94,84,84
40,27,49,50
91,82,96,96
32,51,20,19
78,93,68,66
64,38,79,81
80,89,70,67
58,45,76,79
84,93,75,71
49,32,67,71
89,87,89,83
38,43,39,51
88,94,93,96
39,28,30,22
87,82,85,73
42,53,48,67
89,96,95,88
37,22,24,41
87,73,77,93
44,68,62,30
88,86,91,84
39,44,35,48
89,95,89,95
37,26,37,23
84,78,90,74
51,63,40,69
90,91,92,87
36,34,31,43
88,88,87,94
40,41,44,28
87,93,94,82
44,31,28,55
91,87,83,97
32,41,48,19
81,91,93,67
57,39,35,78
87,92,90,73
42,33,38,67
89,88,92,88
37,41,31,40
87,92,85,93
43,33,48,32
89,89,95,87
37,38,23,43
86,91,76,93
45,36,65,31
88,90,89,85
41,36,39,47
91,91,93,96
32,32,26,21
78,83,78,70
63,58,67,77
81,92,86,73
56,37,49,70
87,91,95,85
42,34,24,49
88,88,77,96
40,41,61,23
90,92,92,75
35,30,31,61
83,83,83,90
53,54,55,42
88,96,95,94
40,24,25,29
91,76,79,84
32,59,55,47
79,91,92,93
61,41,39,35
84,93,91,88
50,34,37,44
89,88,91,95
37,40,35,24
87,93,89,77
43,31,40,62
89,86,93,92
39,45,31,32
88,94,85,86
39,27,47,46
86,79,95,95
46,60,27,27
90,93,82,82
35,29,52,52
86,82,94,95
46,56,29,27
89,96,84,81
37,22,49,54
87,74,95,95
41,66,24,25
86,87,77,77
46,44,62,62
91,95,91,93
31,22,31,28
81,72,85,81
57,74,53,59
87,79,95,93
41,58,25,30
88,93,78,85
39,29,59,46
88,83,94,96
40,51,27,22
87,96,81,74
42,23,55,67
88,76,95,88
39,61,24,41
88,92,78,94
41,32,59,28
88,87,93,83
40,43,29,51
88,94,84,96
41,28,51,23
88,83,96,76
39,51,22,62
87,95,74,91
42,25,66,34
88,79,89,89
40,59,39,38
88,93,92,91
39,29,32,34
87,82,86,89
43,53,45,40
89,96,95,93
36,23,23,29
86,73,74,82
46,68,67,54
89,87,88,96
38,42,41,21
88,94,94,73
38,27,28,66
84,81,80,87
50,58,59,46
91,95,93,96
33,23,27,19
84,74,79,69
50,69,61,74
90,86,93,80
34,42,29,55
84,93,82,94
51,33,56,31
89,87,94,85
38,42,26,46
89,93,80,95
38,29,56,24
85,82,94,76
49,55,31,65
91,96,86,89
33,21,43,36
85,72,93,90
49,71,33,40
90,84,88,94
35,47,39,26
85,95,91,80
48,28,38,60
88,82,92,94
39,52,32,28
90,96,88,84
33,20,40,48
80,69,89,94
60,78,45,35
84,74,94,87
50,68,31,45
90,87,85,96
33,41,45,20
84,92,95,70
50,36,29,73
